Title,fontbold,w16
New Zealand,89,1
Denmark,88,2
Switzerland,85,3
Finland,85,3
Norway,85,3
Singapore,84,6
Sweden,84,6
Canada,82,8
United Kingdom,82,8
Luxembourg,82,8
Netherlands,82,8
Germany,81,12
Australia,77,13
Hong Kong,77,13
Iceland,77,13
Austria,75,16
Belgium,75,16
United States of America,75,16
Ireland,74,19
Japan,73,20
United Arab Emirates,71,21
Estonia,71,21
France,70,23
Uruguay,70,23
Barbados,68,25
Bhutan,67,26
Chile,67,26
Bahamas,65,28
Portugal,63,29
Qatar,63,29
Taiwan,63,29
Brunei Darussalam,62,32
Israel,62,32
Botswana,61,34
Slovenia,61,34
Poland,60,36
Seychelles,60,36
Costa Rica,59,38
Lithuania,59,38
Latvia,58,40
Saint Vincent and the Grenadines,58,40
Cyprus,57,42
Czech Republic,57,42
Dominica,57,42
Spain,57,42
Georgia,56,46
Malta,56,46
Cabo Verde,55,48
Saint Lucia,55,48
Rwanda,55,48
"Korea, South",54,51
Grenada,52,52
Namibia,51,53
Italy,50,54
Mauritius,50,54
Slovakia,50,54
Croatia,49,57
Saudi Arabia,49,57
Greece,48,59
Jordan,48,59
Romania,48,59
Cuba,47,62
Malaysia,47,62
Montenegro,46,64
Sao Tome and Principe,46,64
Hungary,45,66
Senegal,45,66
Belarus,44,68
Jamaica,44,68
Oman,44,68
Bulgaria,43,71
Vanuatu,43,71
South Africa,43,71
Burkina Faso,42,74
Lesotho,42,74
Tunisia,42,74
China,41,77
Serbia,41,77
Suriname,41,77
Trinidad and Tobago,41,77
Ghana,40,81
India,40,81
Morocco,40,81
Turkey,40,81
Argentina,39,85
Benin,39,85
Kosovo,39,85
Kuwait,39,85
Solomon Islands,39,85
Eswatini,39,85
Albania,38,91
Bosnia and Herzegovina,38,91
Guyana,38,91
Sri Lanka,38,91
Timor-Leste,38,91
Brazil,37,96
Colombia,37,96
Indonesia,37,96
Panama,37,96
Peru,37,96
Thailand,37,96
Zambia,37,96
Bahrain,36,103
Cote d'Ivoire,36,103
Mongolia,36,103
Tanzania,36,103
Armenia,35,107
Ethiopia,35,107
North Macedonia,35,107
Vietnam,35,107
Philippines,34,111
Bolivia,33,112
Algeria,33,112
Maldives,33,112
Niger,33,112
El Salvador,33,112
Ecuador,32,117
Egypt,32,117
Gabon,32,117
Pakistan,32,117
Togo,32,117
Azerbaijan,31,122
Djibouti,31,122
Kazakhstan,31,122
Liberia,31,122
Moldova,31,122
Mali,31,122
Malawi,31,122
Nepal,31,122
Gambia,30,130
Iran,30,130
Myanmar,30,130
Sierra Leone,30,130
Ukraine,30,130
Dominican Republic,29,135
Honduras,29,135
Kyrgyzstan,29,135
Laos,29,135
Mexico,29,135
Papua New Guinea,29,135
Paraguay,29,135
Russia,29,135
Bangladesh,28,143
Guatemala,28,143
Kenya,28,143
Lebanon,28,143
Mauritania,28,143
Comoros,27,148
Guinea,27,148
Nigeria,27,148
Nicaragua,26,151
Uganda,26,151
Cameroon,25,153
Mozambique,25,153
Madagascar,24,155
Central African Republic,23,156
Burundi,22,157
Haiti,22,157
Uzbekistan,22,157
Zimbabwe,22,157
Democratic Republic of the Congo,21,161
Congo,21,161
Cambodia,21,161
Tajikistan,21,161
Eritrea,20,165
Chad,20,165
Angola,19,167
Turkmenistan,19,167
Iraq,18,169
Venezuela,18,169
Guinea Bissau,17,171
Equatorial Guinea,17,171
Libya,17,171
"Korea, North",17,171
Sudan,16,175
Yemen,16,175
Afghanistan,15,177
Syria,14,178
South Sudan,12,179
Somalia,9,180
